"convid","cm","client","subject","open","accepted","updated","created"
20,13,14,"Automatically created on 2016-03-24 at 14:47:21.795",FALSE,TRUE,"2016-03-24 14:49:10.892999+00","2016-03-24 14:47:16.079242+00"
1,1,1,"Automatically created on 2016-03-23 at 07:19:25.248",FALSE,TRUE,"2016-03-23 14:04:11.987852+00","2016-03-23 07:19:22.352953+00"
39,23,25,"Automatically created on 2016-03-24 at 21:26:27.513",TRUE,TRUE,"2016-03-24 21:26:42.779742+00","2016-03-24 21:26:21.206601+00"
21,13,14,"Automatically created on 2016-03-24 at 14:49:29.771",TRUE,TRUE,"2016-03-24 14:50:22.590635+00","2016-03-24 14:49:24.052679+00"
2,2,2,"Missed appointmenet",FALSE,TRUE,"2016-03-23 14:49:19.919124+00","2016-03-23 14:46:30.399008+00"
3,2,2,"Automatically created on 2016-03-23 at 14:50:17.475",TRUE,TRUE,"2016-03-23 14:51:19.9113+00","2016-03-23 14:50:13.90348+00"
79,24,39,"TEST",FALSE,TRUE,"2016-05-18 13:49:50.780466+00","2016-03-30 02:04:55.11563+00"
4,3,3,"test",FALSE,TRUE,"2016-03-23 15:07:03.465683+00","2016-03-23 15:03:21.02332+00"
53,19,35,"classes",FALSE,TRUE,"2016-06-16 18:36:22.110041+00","2016-03-25 18:57:39.024708+00"
40,20,26,"Test",FALSE,TRUE,"2016-04-13 16:11:01.212081+00","2016-03-24 21:34:43.677217+00"
23,16,16,"test",TRUE,TRUE,"2016-05-26 18:49:00.42147+00","2016-03-24 15:12:30.566824+00"
16,11,12,"Automatically created on 2016-03-23 at 21:14:55.312",FALSE,TRUE,"2016-06-02 16:08:48.857159+00","2016-03-23 21:14:51.170031+00"
54,24,36,"Nathan please call me when you get the chance. this number I am testing you from is a test app only and cannot receive calls. Talk to you soon.",FALSE,TRUE,"2016-03-28 18:33:20.756149+00","2016-03-28 18:30:17.455352+00"
8,6,6,"Missed an appt on 3/22",FALSE,TRUE,"2016-03-23 19:17:34.952168+00","2016-03-23 19:16:31.913055+00"
25,17,17,"missed appointment",FALSE,TRUE,"2016-03-24 15:47:57.980687+00","2016-03-24 15:45:54.813385+00"
9,7,7,"Missed appointment",FALSE,TRUE,"2016-03-23 19:40:46.757033+00","2016-03-23 19:38:24.595048+00"
26,17,17,"Automatically created on 2016-03-24 at 15:48:44.147",TRUE,FALSE,"2016-03-24 15:48:38.348104+00","2016-03-24 15:48:38.341216+00"
41,24,27,"test phone example",FALSE,TRUE,"2016-03-24 21:51:52.488291+00","2016-03-24 21:49:39.595661+00"
10,8,8,"Court reminder",FALSE,TRUE,"2016-03-23 20:08:03.013937+00","2016-03-23 19:58:31.783002+00"
11,8,8,"new conversation",TRUE,TRUE,"2016-03-23 20:14:02.658182+00","2016-03-23 20:14:02.658182+00"
27,19,18,"missed ua",FALSE,TRUE,"2016-03-24 16:37:12.564456+00","2016-03-24 16:35:30.9536+00"
12,9,9,"missed appointment ",FALSE,TRUE,"2016-03-23 20:16:00.528388+00","2016-03-23 20:14:16.909301+00"
13,10,10,"missed appointment",FALSE,TRUE,"2016-03-23 20:27:48.967981+00","2016-03-23 20:24:27.861088+00"
5,3,3,"test 2",FALSE,TRUE,"2016-04-11 21:03:22.035756+00","2016-03-23 15:10:47.698437+00"
42,25,28,"missed UA",FALSE,TRUE,"2016-03-24 22:04:07.461813+00","2016-03-24 22:02:04.114837+00"
15,11,12,"test for me",FALSE,TRUE,"2016-03-23 21:14:42.230211+00","2016-03-23 21:13:29.129613+00"
80,19,53,"calling in",TRUE,TRUE,"2016-04-12 15:55:03.61444+00","2016-03-30 14:52:24.923553+00"
48,28,32,"Missed UA",FALSE,TRUE,"2016-03-24 23:02:05.466818+00","2016-03-24 23:00:39.902528+00"
17,12,13,"court app is coming up",FALSE,TRUE,"2016-03-24 14:43:12.447675+00","2016-03-24 14:39:38.954132+00"
18,12,13,"missed appt",TRUE,TRUE,"2016-03-24 14:43:12.451223+00","2016-03-24 14:43:12.451223+00"
29,19,19,"Daily Check In's",FALSE,TRUE,"2016-03-24 17:17:38.842441+00","2016-03-24 16:58:23.196719+00"
19,13,14,"Upcoming court date",FALSE,TRUE,"2016-03-24 14:46:46.515206+00","2016-03-24 14:44:53.937865+00"
972,28,48,"Graduation ",FALSE,TRUE,"2016-07-19 21:19:23.112527+00","2016-07-19 21:11:20.402245+00"
49,28,32,"Automatically created on 2016-03-24 at 23:02:32.255",FALSE,TRUE,"2016-03-24 23:07:29.464274+00","2016-03-24 23:02:25.803509+00"
43,25,28,"Automatically created on 2016-03-24 at 22:04:42.865",FALSE,TRUE,"2016-03-24 22:05:40.989812+00","2016-03-24 22:04:36.500806+00"
31,20,21,"Missed Appointment",FALSE,TRUE,"2016-03-24 20:14:47.641055+00","2016-03-24 20:12:39.981083+00"
57,20,38,"Test",FALSE,TRUE,"2016-04-13 16:16:02.222835+00","2016-03-28 18:59:13.396886+00"
74,28,50,"text",FALSE,TRUE,"2016-03-30 00:34:50.92692+00","2016-03-30 00:05:28.136966+00"
81,24,54,"TEST",FALSE,TRUE,"2016-03-31 21:56:41.1242+00","2016-03-30 17:54:53.19735+00"
33,21,22,"missed appointment",FALSE,TRUE,"2016-03-24 20:30:16.781561+00","2016-03-24 20:26:23.174386+00"
1339,54,668,"CHECK IN",TRUE,TRUE,"2016-08-04 19:05:53.959994+00","2016-08-04 19:05:53.959994+00"
44,26,29,"Training",FALSE,TRUE,"2016-03-24 22:11:58.888279+00","2016-03-24 22:08:48.965957+00"
35,22,23,"Missed UA",FALSE,TRUE,"2016-03-24 21:07:27.859815+00","2016-03-24 21:05:31.285694+00"
67,26,45,"What's up",FALSE,TRUE,"2016-04-11 14:51:45.978587+00","2016-03-29 17:50:44.971016+00"
45,27,30,"Missed UA",FALSE,TRUE,"2016-03-24 22:46:17.235911+00","2016-03-24 22:43:54.017929+00"
