"ibm_sentiment_analysis_id","sentiment","ibm_request_sid","tw_sid"
1,"negative","XRd941020689ec88a41c4bd0b786840f31","SM6e5577f695f8f5aa137011375ac6a91e"
2,"neutral","XRa9ba21ae44a33a2c8c55f4cbf1f23aff","SM27ebb3cd1e70952d654d86a3850abc47"
3,"neutral","XR27b0630c5c5a0a93e09321275601af97","SMcf208c5a38144d81e96e5d09f02630ce"
4,"neutral","XReba349081f2d27c1efd82aaa0c6a9113","SM3175f2996e209dc5e82b7b813728b154"
5,"positive","XR34d87f451756d1dab7787b0a7245782d","SM7ef48561922bd711271f50bb6ddffbd4"
6,"positive","XR48707988500332774f0d1dced6553583","SM6d92aa574feb581315c0c67febf336f0"
7,"negative","XR7a915130d94229fe3667ee715246991a","SM72dbe947e1328366638acc4bd640abcb"
8,"negative","XRa82243de1eca288e3a2024f5ed703701","SM2ed4ac5c51b8023c12770c1a94685de5"
9,"neutral","XRf360fb96aea4652301531ff5488f36dd","SM987d485bf73e31a7881cc7ae291c5094"
10,"neutral","XRf7a6222db58151d98ef127f7159d9db1","SM0acca56fed58126edd9b420b9aa46660"
11,"positive","XR9692398c772e7b09475b259817d1056c","SMd5ecdbf75d887868ec9c59cf89ae86e7"
12,"neutral","XRafb0cb420adfe02bcc1c0c0fdc51d567","SMa11bedd8ee005d11b93f11bed9ccedb0"
13,"positive","XR150113b9f252f93df4a3b8623a7d06a1","SM25afce9155837ed30c699f650dfd0cb1"
14,"positive","XR6cf7bfb5acfd60e60476b1acc112ac78","SM0b535cf6a15c5e0721b0e846cf3fef73"
15,"positive","XR0c271e79e7ec5f343b87f25261a5db30","SM0a614f5fb3599e387f55d0bed453db23"
16,"positive","XR80931e48e3da9d8cd161e23e3e8c5469","SMdb14b24440740e9d90a6477d7a7eeb9a"
17,"negative","XRa7f8800aaa8f1bad930c97b61775a545","SM45f5733813ca467153a2475161f74521"
18,"positive","XR5c68b111e9e6f9c6428d9d2f50c5ef9f","SM977aae71efe11ca19e4ef6fba2250868"
19,"positive","XRa64243cf69d0d749519c75a7e803070d","SM69c9d8f99e3d5a379f7adc12a9af6bec"
20,"positive","XR6705aa7e82eafb17e292d93d51e246e4","SMfd473f8f1757504eaa791459b448234a"
21,"negative","XR6db26a4bf5ce4aedb5b7a38b886eeccf","SM9bfc0b86f80aaa03ff605ffcc7226b75"
22,"neutral","XR19bf1b0935a6527f8e780bce84feacca","SM49ad7b7d01bc4313bd0df4626a3ac490"
23,"positive","XR4ababecfae93303d8786a3a580ce327c","SMd2fb9e8dc46f261520f3c2b9df9b3872"
24,"negative","XRf08ca6bc5dbba502f82a517244cabd3c","SMd96cfa891e8cde5099f8a617f24380fe"
25,"negative","XRf3150c3c627dd9f9a623690f5f5bf520","SM305c7e239967a4547ea759450a78d2b5"
26,"negative","XR3eff34ed848de0f9035283fba9a18d43","SM904a19da21a866289fb0806349fcc140"
27,"positive","XR1b6377caec487d37bbaa7a59a9bee035","SMf249183f4a1755e0ce2ea1e503705630"
28,"neutral","XRb6027994bd2ccdd130122b855ff66a09","SMc23f7933783bcd61816ca9a1dca847ff"
29,"positive","XR0cbade75695e4c18e7aa6c2c5369c8e9","SM6b745293cf0b1b6b3b3321b707b4e622"
30,"negative","XR05354bb5a63d6c99f5231996460d1786","SMb7f997ee8753040d687a2b531be07355"
31,"negative","XR9656907c0df9c3b2e4670fae3570ecdb","SMfc2a19eab07d95631627241bb9aaf107"
32,"neutral","XR550759d70e98eac864dc3c9400b380b4","SMd9b33f45e624928ef999248a1fc88bea"
33,"neutral","XRda5bc2fd2fb9f2682fc25080ec0473fd","SM3fb291238b3251ee056790a9e6bec741"
34,"positive","XR0323686500c702dc8b31286883e51d1a","SM19e04f7bb45ceaa06ce53b8b119b1239"
35,"positive","XRfe5d1b7f78cedd583e2e556c08cc5561","SMe8bab5a58c88a4d84ae9ad07e698b035"
