"id","name","batch","migration_time"
1,"20160304194227_sms_base.js",1,"2016-03-23 07:04:23.074+00"
2,"20160405162146_dob_col_typechange.js",2,"2016-04-06 11:55:38.152+00"
3,"20160525151156_org_timezone.js",3,"2016-05-27 22:27:05.254+00"
4,"20160531130532_acct_pw_reset_table.js",4,"2016-06-01 00:35:29.373+00"
5,"20160531175105_msgs_col_for_cleared_status.js",5,"2016-06-01 23:09:36.027+00"
6,"20160624140642_notifications_table.js",6,"2016-07-07 00:26:59.873+00"
7,"20160706114947_add_terminus_date_to_notifications.js",6,"2016-07-07 00:26:59.885+00"
8,"20160718115907_message_col_transition_from_carchar_totext.js",7,"2016-07-18 20:54:44.261+00"
9,"20160720114937_closeoutsurvey.js",8,"2016-07-21 20:38:41.908+00"
10,"20160720154931_templates.js",8,"2016-07-21 20:38:41.951+00"
11,"20160720163325_tags.js",8,"2016-07-21 20:38:42+00"
12,"20160721123612_template_updated_date.js",8,"2016-07-21 20:38:42.052+00"
13,"20160721132040_template_add_active_col.js",8,"2016-07-21 20:38:42.31+00"
14,"20160721151811_clients_color_tag.js",9,"2016-07-26 01:11:11.084+00"
15,"20160725095224_template_add_subject_col.js",9,"2016-07-26 01:11:11.102+00"
16,"20160725135310_template_use_tracking.js",9,"2016-07-26 01:11:11.139+00"
17,"20160801152138_ibm_sentiment_analysis.js",10,"2016-08-02 03:08:11.273+00"
18,"20160810132045_groups.js",11,"2016-08-26 22:21:16.625+00"
19,"20160812092104_color_tags.js",11,"2016-08-26 22:21:16.7+00"
20,"20160812093249_color_tags_link.js",11,"2016-08-26 22:21:16.745+00"
21,"20160812151717_color_tags_link_to_table_from_clients.js",11,"2016-08-26 22:21:16.799+00"
22,"20160816130135_groups.js",11,"2016-08-26 22:21:16.937+00"
23,"20160816134051_groups_last_updated.js",11,"2016-08-26 22:21:16.997+00"
24,"20160818083638_alerts_feed.js",11,"2016-08-26 22:21:17.077+00"
25,"20160818101431_departments.js",11,"2016-08-26 22:21:17.218+00"
26,"20160818102222_organization_owners.js",11,"2016-08-26 22:21:17.29+00"
27,"20160818102448_user_classes.js",11,"2016-08-26 22:21:17.356+00"
28,"20160823124157_department_foreign_key.js",11,"2016-08-26 22:21:17.418+00"
29,"20160823183957_phone_num_big_integer.js",11,"2016-08-26 22:21:17.463+00"
