"msgid","convo","comm","content","inbound","read","tw_sid","tw_status","created","status_cleared"
45,27,20,"you missed a UA",FALSE,TRUE,"SM9f7ff28ac4fc48dbb84e5a4512da3aa4","sent","2016-03-24 16:36:35.730069+00",TRUE
56,33,24,"Sorry missed the bus",TRUE,TRUE,"SMe5069aa1d2385daab1de97011e1df3e9","received","2016-03-24 20:28:41.458513+00",TRUE
46,27,20,"Sorry",TRUE,TRUE,"SM1f5482541a236740c12aa9709abb9a14","received","2016-03-24 16:36:55.807391+00",TRUE
68,41,29,"hello",FALSE,TRUE,"SM2b7361afb89348c8957b1e08b75dba33","sent","2016-03-24 21:50:08.474742+00",TRUE
1323,444,119,"Hi guys! This is just a friendly reminder about CC group next week. Your RIP cards are due then and we will be presenting those in group. Thanks, M@.",FALSE,TRUE,"SMf7cde89c27b648eb9ad9d36a9d04d57e","sent","2016-05-26 23:12:27.320837+00",TRUE
64,38,27,"You missed a UA test on Sunday March 27th.",FALSE,TRUE,"SM9d24b39bcd014226989eec9b4c4e46d6","sent","2016-03-24 21:23:59.735131+00",TRUE
60,36,26,"Test",FALSE,TRUE,"SMb1c5af3339864155888f9a22057709c4","sent","2016-03-24 21:08:17.54419+00",TRUE
5,3,2,"I need a job, please help",TRUE,TRUE,"SM76a6096c8dbb62c9ecc86eb3c3444665","received","2016-03-23 14:50:13.908826+00",TRUE
28,15,14,"This is cool",TRUE,TRUE,"SMf03042ef945ada1e19c23eb702ee4063","received","2016-03-23 21:14:25.098402+00",TRUE
29,16,14,"Retry",TRUE,TRUE,"SMb8a1ccfce35ae1ccb5e201dfa38f8b02","received","2016-03-23 21:14:51.173915+00",TRUE
1675,528,203,"Ok thank you",TRUE,TRUE,"SMcc1b40a6b04786c97f5f5bbd423a5d23","received","2016-06-08 15:57:31.090226+00",TRUE
67,40,28,"Test",FALSE,TRUE,"SMab20f4ec91eb47e6b5f0d12bdca35bce","sent","2016-03-24 21:34:52.010945+00",TRUE
39,23,18,"test ",FALSE,TRUE,"SM37add5878ded44bab9b2bd6e1753e1c4","sent","2016-03-24 15:12:43.469878+00",TRUE
25,14,13,"Yes I'll be there at 4",TRUE,TRUE,"SM21e3b3814b9feb0f5466c4f4db511ad8","received","2016-03-23 20:47:30.589935+00",TRUE
63,37,25,"girl.. tired of your xcuses ",FALSE,TRUE,"SMf8b9a8ee26ae4256abd204dc6e8f738f","sent","2016-03-24 21:09:39.722847+00",TRUE
8,4,3,"Ok I will call you later today.",TRUE,TRUE,"SMd5483ba709154294d41b0b8212c17d25","received","2016-03-23 15:06:00.503215+00",TRUE
37,22,17,"dont forget your appontment 3/3/17",FALSE,TRUE,"SM8eca2f89909b468fa165c3299fbf139f","sent","2016-03-24 14:56:01.34916+00",TRUE
36,21,16,"What the room number",TRUE,FALSE,"SMca4d8d3b162f72c1ba48707ba1396d53","received","2016-03-24 14:49:24.056886+00",TRUE
20,10,9,"Oops, it's at 3rd District Court.",FALSE,TRUE,"SMc1695743956948eab0bbe4e27a7258a7","sent","2016-03-23 20:07:53.694407+00",TRUE
1447,327,169,"Email",TRUE,TRUE,"SMa650923060d638d7b03df1e7de5d662b","received","2016-05-31 23:00:43.661702+00",TRUE
32,17,15,"When is it",TRUE,FALSE,"SMb7cd475f2e21590e93f1bd32ad25d6e9","received","2016-03-24 14:41:11.010735+00",TRUE
23,13,12,"hello ben",FALSE,TRUE,"SMaa51b88df37f4d4fa8724e767f111c1f","sent","2016-03-23 20:25:18.536314+00",TRUE
